srno,Project Name,Project Type,Promoter Name
1,OBEROI EXQUISITE,Residential,OBEROI EXQUISITE
na,na,na,na
2,Raj Shivganga,Residential,Raj Shivganga
na,na,na,na
na,na,na,na
1,JATIA HOUSE,Residential,JATIA HOUSE
na,na,na,na
na,na,na,na
3,LODHA PALAWA,Residential,LODHA PALAWA
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
na,na,na,na
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
2,Solitare Estates,Residential,Solitare Estates
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
na,na,na,na
1,ASHOKA DEVELOPERS,Residential,ASHOKA DEVELOPERS
1,Sisodiya investment,Residential,Sisodiya investment
5,Imperial Heights,Residential,Imperial Heights
na,na,na,na
na,na,na,na
1,OBEROI EXQUISITE,Residential,OBEROI EXQUISITE
na,na,na,na
2,Raj Shivganga,Residential,Raj Shivganga
na,na,na,na
na,na,na,na
1,JATIA HOUSE,Residential,JATIA HOUSE
na,na,na,na
na,na,na,na
3,LODHA PALAWA,Residential,LODHA PALAWA
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
na,na,na,na
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
2,Solitare Estates,Residential,Solitare Estates
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
na,na,na,na
1,ASHOKA DEVELOPERS,Residential,ASHOKA DEVELOPERS
1,Sisodiya investment,Residential,Sisodiya investment
5,Imperial Heights,Residential,Imperial Heights
na,na,na,na
na,na,na,na
1,OBEROI EXQUISITE,Residential,OBEROI EXQUISITE
na,na,na,na
2,Raj Shivganga,Residential,Raj Shivganga
na,na,na,na
na,na,na,na
1,JATIA HOUSE,Residential,JATIA HOUSE
na,na,na,na
na,na,na,na
3,LODHA PALAWA,Residential,LODHA PALAWA
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
na,na,na,na
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
2,Solitare Estates,Residential,Solitare Estates
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
na,na,na,na
1,ASHOKA DEVELOPERS,Residential,ASHOKA DEVELOPERS
1,Sisodiya investment,Residential,Sisodiya investment
5,Imperial Heights,Residential,Imperial Heights
na,na,na,na
na,na,na,na
1,OBEROI EXQUISITE,Residential,OBEROI EXQUISITE
na,na,na,na
2,Raj Shivganga,Residential,Raj Shivganga
na,na,na,na
na,na,na,na
1,JATIA HOUSE,Residential,JATIA HOUSE
na,na,na,na
na,na,na,na
3,LODHA PALAWA,Residential,LODHA PALAWA
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
na,na,na,na
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
2,Solitare Estates,Residential,Solitare Estates
2,HARBOUR HEIGHTS,Commercial,HARBOUR HEIGHTS
na,na,na,na
1,ASHOKA DEVELOPERS,Residential,ASHOKA DEVELOPERS
1,Sisodiya investment,Residential,Sisodiya investment
5,Imperial Heights,Residential,Imperial Heights
na,na,na,na
na,na,na,na
3,ROHANLIFESCAPESResidential,MIRAGE,ROHANLIFESCAPES
1,DreamsTheCommercial,Mall,SatraProperty
1,NEWCUFFEResidential,PARADE,LODHAGROUP
25,AshokGardensSwan,Residential,EnergyLTD
4,OBEROISKYResidential,CITY,OBEROIREALTY
2,ONEAVIGHNAResidential,PARK,NISHANTAGARWAL
2,"TheHive,Commercial",Satya,ManishAgarwal
2,CELISTIASPACESPENENSULA,Residential,PVTLTD
3,ROHANLIFESCAPESResidential,MIRAGE,ROHANLIFESCAPES
1,DreamsTheCommercial,Mall,SatraProperty
1,NEWCUFFEResidential,PARADE,LODHAGROUP
25,AshokGardensSwan,Residential,EnergyLTD
4,OBEROISKYResidential,CITY,OBEROIREALTY
2,ONEAVIGHNAResidential,PARK,NISHANTAGARWAL
2,"TheHive,Commercial",Satya,ManishAgarwal
2,CELISTIASPACESPENENSULA,Residential,PVTLTD
3,ROHANLIFESCAPESResidential,MIRAGE,ROHANLIFESCAPES
1,DreamsTheCommercial,Mall,SatraProperty
1,NEWCUFFEResidential,PARADE,LODHAGROUP
25,AshokGardensSwan,Residential,EnergyLTD
4,OBEROISKYResidential,CITY,OBEROIREALTY
2,ONEAVIGHNAResidential,PARK,NISHANTAGARWAL
2,"TheHive,Commercial",Satya,ManishAgarwal
2,CELISTIASPACESPENENSULA,Residential,PVTLTD
3,ROHANLIFESCAPESResidential,MIRAGE,ROHANLIFESCAPES
1,DreamsTheCommercial,Mall,SatraProperty
1,NEWCUFFEResidential,PARADE,LODHAGROUP
25,AshokGardensSwan,Residential,EnergyLTD
4,OBEROISKYResidential,CITY,OBEROIREALTY
2,ONEAVIGHNAResidential,PARK,NISHANTAGARWAL
2,"TheHive,Commercial",Satya,ManishAgarwal
2,CELISTIASPACESPENENSULA,Residential,PVTLTD
